fpl_code,team,player,pos,cost,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-26,2025-12-27,2025-12-28,2025-12-30,2026-01-01,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,2026-01-17,2026-01-18,2026-01-19,2026-01-24,2026-01-25,2026-01-26,total_pts,ppm
95658,MUN,Maguire,D,7.1,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.23,0.0,0.0,1.36,0.0,1.28,0.0,1.35,0.0,0.0,1.73,0.0,0.0,1.37,0.0,1.69,0.0,1.05,0.0,0.0,0.0,0.87,0.0,12.92,1.82
486520,LEE,Gruev,M,6.9,2.16,0.0,0.0,1.98,0.0,1.88,0.0,0.0,0.0,1.21,0.0,1.24,0.0,0.0,0.0,0.0,1.05,0.0,0.76,0.0,0.76,0.0,0.58,0.0,0.63,0.0,0.0,0.0,0.0,0.65,12.91,1.87
513466,EVE,Röhl,M,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,2.28,0.0,2.37,0.0,0.0,2.26,0.0,2.23,0.0,0.0,1.46,0.0,0.0,0.0,1.49,12.87,2.04
477064,MCI,Lewis,D,7.1,1.15,0.0,1.08,0.0,0.0,1.39,0.0,0.0,0.0,0.93,0.0,1.37,0.0,0.0,0.0,1.16,0.0,0.0,1.32,0.0,1.08,0.0,1.1,0.0,1.01,0.0,0.0,1.23,0.0,0.0,12.81,1.8
244042,FUL,Muniz,F,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,1.83,0.0,2.34,0.0,3.57,0.0,0.0,3.54,0.0,0.0,12.54,1.69
223541,LIV,Chiesa,M,9.6,0.0,1.2,0.0,1.14,0.0,0.83,0.0,0.0,0.83,0.0,0.0,1.56,0.0,0.0,0.0,1.66,0.0,0.0,1.64,0.0,0.99,0.0,0.0,0.78,1.13,0.0,0.0,0.7,0.0,0.0,12.44,1.3
577669,SUN,Sadiki,M,6.9,2.24,0.0,0.0,1.81,0.0,1.75,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.94,0.0,1.21,0.0,0.0,1.86,0.0,0.0,12.42,1.8
180135,LEE,Longstaff,M,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.5,0.0,2.23,0.0,2.38,0.0,2.48,0.0,0.0,0.0,0.0,2.42,12.0,1.71
135720,TOT,Danso,D,6.8,3.7,0.0,0.48,0.0,0.0,0.77,0.0,0.0,0.0,0.76,0.0,0.64,0.0,0.0,0.0,0.0,0.74,0.0,0.77,0.0,1.13,0.0,0.78,0.0,1.05,0.0,0.0,1.11,0.0,0.0,11.93,1.76
152551,CRY,Lerma,M,7.7,0.0,0.83,0.0,0.97,0.0,0.0,0.97,0.0,0.0,0.98,0.0,1.25,0.0,0.0,0.0,0.0,1.31,0.0,1.27,0.0,1.06,0.0,1.13,0.0,1.12,0.0,0.0,0.0,0.96,0.0,11.86,1.54
523705,WOL,Tchatchoua,D,6.7,0.0,1.95,0.0,2.51,0.0,0.0,0.0,2.16,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.84,0.0,0.0,1.12,0.0,0.93,0.0,0.0,11.73,1.75
463936,CHE,Gittens,M,8.0,0.0,0.9,0.0,1.18,0.0,1.12,0.0,0.0,1.03,0.0,0.0,0.97,0.0,0.0,0.0,1.13,0.0,1.15,0.0,0.0,0.96,0.0,1.06,0.0,1.21,0.0,0.0,0.0,0.96,0.0,11.67,1.46
